Feature,Coefficient
apgar10 first_window_timestamp,0.5910204400504625
Monitor Hartfrequentie_min,0.3324116243692691
Monitor Ademhalingsfrequentie_min Monitor Ademhalingsfrequentie_kurtosis,0.21106552673493367
apgar10 Monitor Arteriele Bloeddruk Diastole_mean,0.17944032073565525
first_window_timestamp Monitor Ademhalingsfrequentie_skewness,0.11301766081759992
Pulse_pressure_mean Pulse_pressure_var,0.07197801564198104
Monitor Hartfrequentie_skewness Pulse_pressure_var,0.033668064812165874
Monitor Hartfrequentie_var Pulse_pressure_mean,0.0315226154738657
Monitor Hartfrequentie_skewness Pulse_pressure_max,0.027799953598924527
apgar10 Monitor Hartfrequentie_skewness,0.013972460656994633
Monitor Ademhalingsfrequentie_min Pulse_pressure_var,0.0009854522257167356
Monitor Ademhalingsfrequentie_min Pulse_pressure_max,0.0007386450812338884
Monitor Hartfrequentie_kurtosis Monitor Ademhalingsfrequentie_skewness,0.0
Monitor Hartfrequentie_kurtosis Monitor Ademhalingsfrequentie_min,0.0
Monitor Hartfrequentie_kurtosis Monitor Ademhalingsfrequentie_var,0.0
Monitor Hartfrequentie_skewness hr_spo2_max_cross_cor,0.0
Monitor Hartfrequentie_skewness Pulse_pressure_mean,0.0
Monitor Hartfrequentie_kurtosis Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor Hartfrequentie_min Monitor Arteriele Bloeddruk Diastole_mean,0.0
Monitor Hartfrequentie_skewness Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor Hartfrequentie_kurtosis Pulse_pressure_mean,0.0
Monitor Hartfrequentie_skewness Monitor Ademhalingsfrequentie_skewness,0.0
Monitor Hartfrequentie_skewness Monitor Ademhalingsfrequentie_min,0.0
Monitor Hartfrequentie_skewness Monitor Ademhalingsfrequentie_var,0.0
Monitor Hartfrequentie_min hr_spo2_max_cross_cor,0.0
Monitor Hartfrequentie_min Pulse_pressure_max,0.0
Monitor Hartfrequentie_min Pulse_pressure_var,0.0
Monitor Hartfrequentie_min Pulse_pressure_mean,0.0
first_window_timestamp,0.0
Monitor Hartfrequentie_min Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor Hartfrequentie_kurtosis Monitor Arteriele Bloeddruk Diastole_mean,0.0
Monitor Ademhalingsfrequentie_var Monitor Ademhalingsfrequentie_skewness,0.0
Monitor Hartfrequentie_kurtosis Pulse_pressure_var,0.0
Monitor Ademhalingsfrequentie_min hr_spo2_max_cross_cor,0.0
Monitor Ademhalingsfrequentie_kurtosis hr_spo2_max_cross_cor,0.0
Monitor Ademhalingsfrequentie_kurtosis Pulse_pressure_max,0.0
Monitor Ademhalingsfrequentie_kurtosis Pulse_pressure_var,0.0
Monitor Ademhalingsfrequentie_kurtosis Pulse_pressure_mean,0.0
Monitor Ademhalingsfrequentie_kurtosis Monitor Arteriele Bloeddruk Diastole_mean,0.0
Monitor Ademhalingsfrequentie_skewness Pulse_pressure_max,0.0
Monitor Arteriele Bloeddruk Diastole_mean hr_spo2_max_cross_cor,0.0
Monitor Ademhalingsfrequentie_skewness Pulse_pressure_mean,0.0
Monitor Ademhalingsfrequentie_skewness Monitor Arteriele Bloeddruk Diastole_mean,0.0
Monitor Ademhalingsfrequentie_min Pulse_pressure_mean,0.0
Monitor Hartfrequentie_kurtosis Pulse_pressure_max,0.0
Monitor Ademhalingsfrequentie_min Monitor Arteriele Bloeddruk Diastole_mean,0.0
Monitor Ademhalingsfrequentie_min Monitor Ademhalingsfrequentie_skewness,0.0
Monitor Ademhalingsfrequentie_var hr_spo2_max_cross_cor,0.0
Monitor Ademhalingsfrequentie_var Pulse_pressure_max,0.0
Monitor Ademhalingsfrequentie_var Pulse_pressure_mean,0.0
Monitor Ademhalingsfrequentie_var Monitor Arteriele Bloeddruk Diastole_mean,0.0
Monitor Ademhalingsfrequentie_var Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor Hartfrequentie_min Monitor Hartfrequentie_kurtosis,0.0
Monitor Hartfrequentie_kurtosis hr_spo2_max_cross_cor,0.0
Monitor Hartfrequentie_min Monitor Ademhalingsfrequentie_skewness,0.0
Monitor Hartfrequentie_min Monitor Ademhalingsfrequentie_var,0.0
Monitor Arteriele Bloeddruk Diastole_mean Pulse_pressure_var,0.0
apgar10 Monitor Ademhalingsfrequentie_kurtosis,0.0
first_window_timestamp Monitor Hartfrequentie_skewness,0.0
Pulse_pressure_mean hr_spo2_max_cross_cor,0.0
