Feature,Coefficient
Diastolic Bood Pressure slope,6.387570721991403
Mean Blood Pressure mean,5.659333737267195
Pulse Pressure slope,3.7608886203781298
Hear Rate mean,3.3183016685013085
Hear Rate min,1.4914417732618535
Systolic Blood Pressure max,1.162251007464994
Systolic Blood Pressure variability,0.8753354939590251
Hear Rate variability,0.8137009922186128
Oxygen Saturation mean,0.5042417540552108
Oxygen Saturation variability,0.40377114118718466
Mean Blood Pressure skewness,0.36359578497076817
Diastolic Bood Pressure skewness,0.3498287321947407
Hypothermia status,0.32090502913786667
Hear Rate kurtosis,0.31195367625040216
Pulse Pressure skewness,0.23523614730312684
Breathing Rate variability,0.23059698169001666
Breathing Rate kurtosis,0.18676621463696674
Hear Rate slope,0.17588686276088497
Breathing Rate min,0.15415011153124955
Pulse Pressure min,0.14971828650431102
Pulse Pressure kurtosis,0.1358144454256257
Oxygen Saturation skewness,0.12188007018061295
Gestational age,0.0961715075527099
Diastolic Bood Pressure kurtosis,0.0960808340124449
Ventilation status,0.04025772427493633
Oxygen Saturation slope,0.03917387130523004
Bradycardia count,0.015233764415644157
Systolic Blood Pressure min,0.0071987453008753475
Heart Rate - Oxygen sat. min. cross-correlation,0.0006567645302399753
Breathing Rate slope,-0.00950760690398544
Breathing Rate mean,-0.05290274808942576
Oxygen Saturation kurtosis,-0.07192011380621237
Breathing Rate skewness,-0.0819554003318026
Systolic Blood Pressure kurtosis,-0.0831993617686935
First window timestamp,-0.10878491886579379
Hear Rate skewness,-0.12810208021375674
Oxygen Saturation max,-0.14028051719922743
Tachycardia count,-0.15456146844157556
Mean Blood Pressure min,-0.1619562200870427
Mean Blood Pressure kurtosis,-0.19306787463323466
Pulse Pressure variability,-0.2156582167913358
Oxygen Saturation drops,-0.23888480683290267
Diastolic Bood Pressure min,-0.26121065880090627
Oxygen Saturation min,-0.35042820788414897
Mean Blood Pressure slope,-0.3568977336104282
Breathing Rate max,-0.39426345665771234
Systolic Blood Pressure skewness,-0.41185708803035626
Mean Blood Pressure variability,-0.47359789717179496
Pulse Pressure max,-0.4975501685415314
Mean Blood Pressure max,-0.5610542547591068
Diastolic Bood Pressure max,-0.747788020652528
Heart Rate - Oxygen sat. max. cross-correlation,-0.813753711085974
Pulse Pressure mean,-1.1675568553090834
Diastolic Bood Pressure variability,-1.3231590835296856
Systolic Blood Pressure mean,-2.4205683531247515
Diastolic Bood Pressure mean,-2.4221148766104776
Intercept,-3.295711827558423
Hear Rate max,-3.861340173170899
Systolic Blood Pressure slope,-8.153166835599677
